time,emotionIntensity.anger,emotionIntensity.comments,emotionIntensity.fear,emotionIntensity.joy,emotionIntensity.sad,emotionIntensity.user,emotionIntensity.user association
2018-01-03T00:00:00.000Z,0,"so what do you think? is it worth taking a look into the ipython kernel? or is it the jedi problem? i was thinking about solving it.  hi guys, is this issue still valid?",0.266,0,0,dmanikowski-reef,Other
2018-01-04T00:00:00.000Z,0,"hi, i believe i have found part of the culprit and a way to significantly, but not completely, reduce this problem!after scrolling through the `ipykernel/pylab/backend_inline.py` code, i got the hunch that interactive mode does a lot of storing of ""plot-things"", though i don't understand it completely, so i am not able to pinpoint the exact reason with certainty.here is the code to verify this (based on @tacaswell's snippet above), useful for anyone trying to implement a fix.initialization:```pythonimport matplotlibimport matplotlib.pyplot as pltimport matplotlib.ticker%matplotlib inlinematplotlib.rcparams['figure.figsize'] = (24, 6)matplotlib.rcparams['figure.dpi'] = 150from resource import getrusagefrom resource import rusage_selfdef friendlyplot():    fig, ax = plt.subplots()    ax.plot(range(1000))    fig.savefig('tmp.png')    plt.close('all')```actual test:```pythonprint(""before any:  {:7d} kb"".format(getrusage(rusage_self).ru_maxrss))friendlyplot()print(""before loop: {:7d} kb"".format(getrusage(rusage_self).ru_maxrss))for i in range(50):    friendlyplot()print(""after loop:  {:7d} kb"".format(getrusage(rusage_self).ru_maxrss))import gc ; gc.collect(2)print(""after gc:    {:7d} kb"".format(getrusage(rusage_self).ru_maxrss))```running it for 50 iterations of the loop, i get:```before any:    87708 kbbefore loop:  106772 kbafter loop:   786668 kbafter gc:     786668 kb```running it for 200 iterations of the loop, i get:```before any:    87708 kbbefore loop:  100492 kbafter loop:  2824316 kbafter gc:    2824540 kb```which shows the almost linear increase in memory with iterations.now to the fix/workaround: call `matplotlib.interactive(false)` before the test-snippet, and then run it.with 50 iterations:```before any:    87048 kbbefore loop:  104992 kbafter loop:   241604 kbafter gc:     241604 kb```and with 200 iterations:```before any:    87536 kbbefore loop:  103104 kbafter loop:   239276 kbafter gc:     239276 kb```which confirms that only a constant increase (independent of iterations) is left.using these numbers, i make a rough estimate of the leak size per iteration:```(786668-(241604 - 104992))/50   = 13001.12(2824316-(241604 - 104992))/200 = 13438.52```and for a single iteration of the loop, i get `13560`. so the amount of leak *per iteration* is significantly smaller than the image size, be it raw (>3mb) or png-compressed (54kb).also, strangely, running a small-scale test (only few iterations) repeatedly in the same cell without restarting the kernel is much less consistent, i have not been able to understand this or determine a pattern.i hope someone with more knowledge of the internals can take it from here, as i lack the time and knowledge to dive deeper into it right now.",0,0,0,lucasb-eyer,Other
2018-01-05T00:00:00.000Z,0,i would like to try to do this. any hints where to look in the first place?,0,0,0,dmanikowski-reef,Other
2018-01-08T00:00:00.000Z,0,"has this been taken care of? if not, i'm interested in working through it!",0,0,0,lesley2958,Other
2018-01-09T00:00:00.000Z,0,"i'm supportive of the idea of having prettyprinter alternatives, but i would rather keep it on the level of having an extension point that's available for alternatives to what ipython provides by default, and being very conservative about changing that default because of how many people out there rely on ipython. but i'm just one person - and i realize there's a tension between keeping existing (grumpy-like-me) users happy by not changing things they are used to, and giving other users new reasons to make their experiences happier.  hi there,thanks for your question. you say that the answers given there are ""far from equiavalent to `sessioninfo()`"" without giving us a sense of why they are deficient. what is it that you find useful from sessioninfo that's missing? for example, [as far as i can tell from this site](https://www.rdocumentation.org/packages/utils/versions/3.4.3/topics/sessioninfo), r's sessioninfo  lists information about the blas or lapack implementation used - but that's not something ipython depends on or provides. numpy does use blas and lapack if they are available, so you could find out that information via `import numpy as np; np.show_config()`.the top answer on the thread you linked is from one of our own core developers @carreau. i'll rephrase his answer here. from the ipython side, we have the sys_info convenience function that has the following information:```in [1]: import ipythonin [2]: print(ipython.sys_info()){'commit_hash': 'ca5443062', 'commit_source': 'installation', 'default_encoding': 'utf-8', 'ipython_path': '/users/pivanov5/.virtualenvs/ipy6/lib/python3.6/site-packages/ipython', 'ipython_version': '6.2.1', 'os_name': 'posix', 'platform': 'darwin-15.6.0-x86_64-i386-64bit', 'sys_executable': '/users/pivanov5/.virtualenvs/ipy6/bin/python3.6', 'sys_platform': 'darwin', 'sys_version': '3.6.1 (default, mar 23 2017, 16:49:01) \n'                '[gcc 4.2.1 compatible apple llvm 8.0.0 (clang-800.0.42.1)]'}```calling out to `pip freeze` is a reasonable way to get the version of packages for python, though there's some other command one might use if you're using `conda` as your package manager.  many packages have a `.__version__` variable attached, but that's not universal - some opt for just `.version` and some make nothing available in the namespace at all.additionally, if you want to know the variables that have been imported directly, the `%who` `%who_ls` and `%whos` magic might be of interest to you.the python world isn't quite like r - there a lot more diffusion of responsibility among different packages and libraries. there's python the language, which comes with a rich standard library. on top of that, and using a few other 3rd party libraries, ipython provides a richer repl experience and some completion niceties, with shell integration and input/output history. to do data analysis, someone might reach for numpy, and then grab matplotlib for plotting. someone else might take pandas and use bqplot, instead. and a huge number of ipython users never use any of those, and simply use ipython as a richer interactive shell for their django development, as another example. so while we may not implement an equivalent of `sessioninfo` - it doesn't mean that you can't (perhaps using the `who_ls` magic as a starting point).let us know, so we can point you in the right direction or tell you what other options you might reach for.happy hacking! :bowtie:  since we have you here and you're interested in reproduciblity, you might enjoy reading about [the binder project](https://elifesciences.org/labs/8653a61d/introducing-binder-2-0-share-your-interactive-research-environment) , and the companion which [focuses more on the technical challenges](https://blog.jupyter.org/binder-2-0-a-tech-guide-2017-fd40515a3a84).",0,0.5,0,ivanov,Member
2018-01-10T00:00:00.000Z,0,"```ipython                   6.2.1                    py35_0    conda-forgematplotlib                2.1.1                    py35_0    conda-forgepython                    3.5.4                         0    conda-forge``````{'commit_hash': 'ca5443062', 'commit_source': 'installation', 'default_encoding': 'utf-8', 'ipython_path': '/home/christopher/mc/envs/dp_dev/lib/python3.5/site-packages/ipython', 'ipython_version': '6.2.1', 'os_name': 'posix', 'platform': 'linux-4.4.0-108-generic-x86_64-with-debian-stretch-sid', 'sys_executable': '/home/christopher/mc/envs/dp_dev/bin/python', 'sys_platform': 'linux', 'sys_version': '3.5.4 | packaged by conda-forge | (default, aug 10 2017, '                '01:38:41) \n'                '[gcc 4.8.2 20140120 (red hat 4.8.2-15)]'}```",0,0,0,CJ-Wright,Other
2018-01-11T00:00:00.000Z,0,"fwiw, i'm getting this error too. no idea why yet.",0,0,0,alok,Other
2018-01-12T00:00:00.000Z,0,5.5.0 worked for me too,0,0,0,auuron,Other
2018-01-13T00:00:00.000Z,0,"i would start by looking at related project has you are not the only one who are interested in it ; for example : - https://multithreaded.stitchfix.com/blog/2017/07/26/nodebook/i know there are more around. it is a complex enough problem that a team of interested people are more change to do something that work.i've recently learn about http://gittup.org/tup/, which seem to be able to intercept io operation (which is one of the reason why dependency tracking is hard). as you guessed, this is likely both a backend and frontend extension, though if you ""tag"" manually, it should be doable only as frontend-only extension. you'll have to play with the `cell.prototype.execute`method and make it submit dependent cells if these have not been executed.hope that give you something to start with.   might be related to https://github.com/davidhalter/jedi/issues/997",0,0,0.114,Carreau,Member
2018-01-14T00:00:00.000Z,0,@tacaswell @carreau @lukelbd any update on this issue?  i'd be willing to contribute to help fix it if someone can give me a little direction.,0.203,0,0,data4science,Other
